,Tweet,Negative,Neutral,Positive
0,"""We are forcing our customers to go someplace else by not educating them on needed services. When you start the conversation 24 hours before, you empower your staff to feel comfortable upselling customers.""

https://t.co/8LhZ9xfruo

#casestudy #successstories #partner #client #VW http",0.2928025,0.5279481,0.17924935
1,#TNRGold🔋 $TNR.v Lithium Royalty Holding: #Ganfeng Lithium Supercharges #MarianaLithium Development By US$600M Investment Making Argentina The Power House Of #Solar Energy rEVolution. http #Royalties⚡️ $GNENF #EVs #Batteries #Tesla #VW #BMW $LIT $BATT http,0.017265322,0.8806599,0.10207482
2,"#UK News: In May the Market was down vs. last year with -20%. Year to date, the #total market is also down with -8,7%, and is now at 661k units. 
The monthly decrease is mainly driven by #VW (-5911), #AUDI (-3782) and... Find out here ⏩https://t.co/MDKW0oGfOS  #DataforceInsights http",0.58363146,0.38612562,0.03024292
3,#VW #BEETLE WITH #CHROME #ENGINE #Car #Photography Quality Prints and Cards at: http,0.010868243,0.59221417,0.39691746
4,#VW GOLF - 2014 - 133257 km. for more information visit http http,0.039881878,0.9189518,0.041166235
5,#VW Golf R32 mk4 http,0.020185018,0.9143824,0.065432444
6,#VW shoot. Awesome collection. 'Rides with Jay Thomas'  New season this Fall on your local #Gray Media station. #PowerNationTV http,0.0010115835,0.044702582,0.9542858
7,"#Volkswagen How-To | #Replacing ...
 
https://t.co/1rTZOKwz6E
 
#ElectricCars #ElectricVehicles #EV #HowTo #Videos #Vlog #VolkswagenCare #VolkswagenHelp #VolkswagenHowTo #VolkswagenPassengerCarsAutomobileCompany #VolkswagenUsa #Vw #VwCare #VwHelp #VwHowTo #YouTube http",0.055308726,0.74217564,0.20251572
8,#vw #beetle tie clip #VIDEOS #Video #TikTokviral #ad #giftideas #accessories #wedding #shopping #cute #etsyfinds http,0.0028248029,0.17114235,0.8260327
9,"1. We've never missed a cue for a surprise entrance, and we don't plan on starting any time soon.

2. Pat fills the hills of Borrowdale with the sound of music.

3. Bonus V-Dub content.

#BackChatBrass #BrassBand #LakeDistrict #Wedding #VW http",0.0079799965,0.24545367,0.74656624
10,"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Fossil #ProtoMetaverse @user Debunked #vwedu #vwer #vwec &gt;
SW + Edus develop = Tandem Flop &gt;
#VW SL OS Learners have 0 Jobs &gt;
Indeed 9,650+ #Virtual #Reality Jobs http Bye Bye &gt; VW SL OS VWBPE VWMOOC OSCC
Next Step &gt; No #VendorLockIn #OpenMetaverse http",0.2930764,0.6579985,0.04892508
11,"@user Imagine who buys #lg?
Wrong!  Not $tsla cheerleader!
#vw!",0.85357904,0.13268514,0.013735859
12,"@user @user They go misty again so quickly. A constant job on my old Polo. Otherwise, it still looks good! #VW #GTI",0.050841823,0.30557036,0.6435878
13,"A bold start to the week sets the stage for joy-filled journeys! Shop our great selection at Schumacher Volkswagen of North Palm Beach!
_____________
#schumacher #schumacherautogroup #schumachervolkswagen #schumachervw #volkswagen #vw #northpalmbeach #npb #soflo #palmbeach http",0.0009261404,0.03655643,0.9625175
14,"A car diagnostic test means less time figuring out what's wrong, allowing us to fix the problem quicker. So when your check engine light comes on, give Universal Garage a call!

#Car #Garage #Diagnostic #Kingston #VW #BMW #MercedesBenz #Audi http",0.1427101,0.47960195,0.3776879
15,"A poor picture of what’s turned out to be a very good little car; proper handbrake, proper heater controls, 95bhp, manual gearbox. And a proper petrol engine! 
I’ll be genuinely sorry to hand the #VW polo 1.0 tsi back. It’s probably all the car you actually need. http",0.41888344,0.37448236,0.20663431
16,"ANOTHER GREAT #VWcampervan #AWNING DEAL!
#Vango Airhub Hexaway Low Drive-Away Awning Package - (RRP £940) £825 - with CARPET!
One of the quickest &amp; easiest #driveaway awnings to pitch! See our video here &gt;https://t.co/9SsCCsQYcY
IN STOCK NOW!
#VW #camper #CamperAwning #AwningDeal http",0.0017293029,0.06615755,0.93211305
17,"ANOTHER GREAT #VWcampervan #AWNING DEAL!
#Vango Airhub Hexaway Low Drive-Away Awning Package - (RRP £940) £825 - with CARPET!
One of the quickest &amp; easiest #driveaway awnings to pitch! See our video here &gt;https://t.co/9SsCCsQYcY
IN STOCK NOW!
#VW #camper #CamperAwning #AwningDeal http",0.0017293029,0.06615755,0.93211305
18,"ANOTHER GREAT #VWcampervan #AWNING DEAL!
#Vango Airhub Hexaway Low Drive-Away Awning Package - (RRP £940) £825 - with CARPET!
One of the quickest &amp; easiest #driveaway awnings to pitch! See our video here &gt;https://t.co/9SsCCsQYcY
IN STOCK NOW!
#VW #camper #CamperAwning #AwningDeal http",0.0017293029,0.06615755,0.93211305
19,"ANOTHER GREAT #VWcampervan #AWNING DEAL!
#Vango Airhub Hexaway Low Drive-Away Awning Package - (RRP £940) £825 - with CARPET!
One of the quickest &amp; easiest #driveaway awnings to pitch! See our video here &gt;https://t.co/9SsCCsQYcY
IN STOCK NOW!
#VW #camper #CamperAwning #AwningDeal http",0.0017293029,0.06615755,0.93211305
20,"Adventure is waiting for you, make sure your #VW is ready to take you there! Click below to schedule your next service appointment with the experts at Fremont Volkswagen!

Schedule Service: http http",0.008738111,0.34648204,0.64477974
