,Tweet,Negative,Neutral,Positive
0,"#BMW
Someone can help me? What BMW is It? A 320c Braun? It's the first Time I Saw one like this @user @user @user @user http",0.10324745,0.7418337,0.15491891
1,"#BMW G 310 RR To Launch Soon In India. Check Specifications 
https://t.co/A3I047B0VZ
By @user",0.018662749,0.93183696,0.04950034
2,#BMW M Hybrid V8 Livestream Debut: Watch LMDh Prototype Reveal On June 6.  http,0.018985815,0.927893,0.053121272
3,"#BMW is a little part of my 🧬
#forzahorizion5 #xbox 
#ghostarts #ZarnGaming http",0.026783817,0.72047424,0.25274187
4,#BMW lovers http,0.036768563,0.80068296,0.16254857
5,"#Climate #Control #System #Touch #Stratification | #Bmw #Genius How-To
 
https://t.co/Wef5n9j93r
 
#2016 #7Series #740e #740i #750i #Blue #BmwUsa #CenterVents #ElectricCars #ElectricVehicles #EV #G12 #HowTo #HowTo #M760i #Red #Slider #Videos #Vlog #YouTube http",0.074425355,0.82033,0.10524444
6,#TNRGold🔋 $TNR.v Lithium Royalty Holding: #Ganfeng Lithium Supercharges #MarianaLithium Development By US$600M Investment Making Argentina The Power House Of #Solar Energy #rEVolution. http #Royalties⚡️ $GNENF #EVs #Batteries #Tesla #VW #BMW $LIT $BATT http,0.016019702,0.877278,0.10670235
7,"#TVS #Apache #RR310 based BMW incoming 💥

Likely to be christened the #BMW #G310RR when fully unveiled on July 15 this will be the company's entry level supersport motorcycle!

What do you think the BMW G 310 RR will be priced at?
@BMWMotorrad @user http",0.007730555,0.6514647,0.3408048
8,"#TopGearAmericanTuned #TopGear #BMW #M8Competition #BMWMSeries
Driving A 900bhp @user M8 Competition Tuned By Steve Dinan @user American Tuned Featuring Rob Dahm 💙📽🌟🌟🌟🌟🌟
https://t.co/eIud8ryNcy http",0.013206396,0.82879883,0.15799476
9,"#bmw S1000RR vs #suzuki GSX-R1000R : Which superbike do you think is the best in terms of performance and looks??.. comment below!!
.
.
@autotechlite ⬅️⬅️⬅️🇮🇳🇮🇳🇮🇳 for more amazing daily posts follow our page
.
.
#bmws1000rr #suzukigsxr1000r #s1000rr #gsxr1000r #gsx1000 #suzukigsx http",0.0046532573,0.16118836,0.8341585
10,#frontendfriday by @user #bmw #m1 #legend #autotempest #allthecarsonesearch #foundonautotempest #carhunt #advice #carsearch #blogs #guides @ MTown http,0.021457272,0.77321917,0.20532349
11,"#savesoil @user 
#BMW zoom  by  #SadhguruJV 
We bow down to Sadhguru . http",0.029367402,0.66824836,0.3023842
12,"2020 BMW X6 Vantablack: The World’s Blackest Black Car 

@BMW

#Trivia #Car #BMW #Tech #Vantablack #Dark #Light #Technology #Automobile #Black #Facts #FunFacts #FactofTheDay #ViralFacts http",0.013683025,0.5086508,0.4776662
13,"2023 BMW X1 Dark Shadow Edition rendering

Watch the making video: http #BMWX1 #BMW #TheiX1 #BMWiX1 #Rendering #Photoshop #CarDesign #Car #Sketch #Render #Renders #Design #CarRendering #CarRender #Wacom #DigitalArt #Art #Artist #Conceptart http",0.033231523,0.8385356,0.12823287
14,"@user With ideas inventions trusting my exclusive skill I' ve been designing cars since my childhood.
I can design special cars with special features willing to work with you.
ELECTRIC CARS ARE FUTURE...
@BMW @user @user @user #BMW http",0.011049284,0.32279262,0.6661582
15,"@user @user This car is beyond beautiful, just an ultimate driving machine. Yes, I stole this motto from #BMW",0.0037053074,0.018791081,0.97750366
16,@user Looks vaguely familiar 🤔 #FCBarcelona #mpower #BMW http,0.028470347,0.752741,0.21878861
17,@user http new to the NFT world check out the NFT CarClub on opensea #NFT #nftcollector #NFTartist #NFTProject #nftphotography #OpenSea #OpenSeaNFT #NFTMint #NFTCommunity #BMW #MercedesBenz #Ferrari #mazda #AstonMartin #Honda #nftcollectors http,0.01679913,0.68076366,0.30243725
18,@user http new to the NFT world check out the NFT CarClub on opensea #NFT #nftcollector #NFTartist #NFTProject #nftphotography #OpenSea #OpenSeaNFT #NFTMint #NFTCommunity #BMW #MercedesBenz #Ferrari #mazda #AstonMartin #Honda #nftcollectors http,0.01679913,0.68076366,0.30243725
19,@user http new to the NFT world check out the NFT CarClub on opensea #NFT #nftcollector #NFTartist #NFTProject #nftphotography #OpenSea #OpenSeaNFT #NFTMint #NFTCommunity #BMW #MercedesBenz #Ferrari #mazda #AstonMartin #Honda #nftcollectors http,0.01679913,0.68076366,0.30243725
20,@user http new to the NFT world check out the NFT CarClub on opensea #NFT #nftcollector #NFTartist #NFTProject #nftphotography #OpenSea #OpenSeaNFT #NFTMint #NFTCommunity #BMW #MercedesBenz #Ferrari #mazda #AstonMartin #Honda #nftcollectors http,0.01679913,0.68076366,0.30243725
