,Tweet,Negative,Neutral,Positive
0,"""A New Wonder of the World""🚀
Cybertruck for scale.

#SpaceX #STARSHIP #Tesla $TSLA #ElonMusk  #Space #art #ArtistOnTwitter http",0.010363625,0.45735127,0.53228515
1,"""While this improves sustainability and reduces questions over the ethical sourcing of cobalt, it also offered an insight into the direction of battery development that Tesla researchers are now taking.""

https://t.co/5UyEgGr7Lu

#Tesla #Battery #Energy #Sustainability",0.0033915683,0.16614582,0.8304625
2,#Biden responds to Elon Musk's 'super bad' feeling about the economy http via @user - Boom!!! 💣#Grandpa President #JoeBiden (@POTUS) reacts for once pretty quick-witted! I like it! 😊☮️🕊️✌️🤣 #ElonMusk #Tesla #SocialResponsability vs. #Capitalism,0.02214119,0.13186082,0.84599817
3,"#Bitcoin (#BTC), #Ethereum (#ETH), #Tesla (#TSLA) are the advancing technology leaders/stalwarts - and I believe #Saitama, with its long list of quality utilities, will soon be part of the same premium list of assets.

Greater risks may be to not partially allocate in portfolios. http",0.027963594,0.40765855,0.5643779
4,"#Elon Musk Wants To Sack 10,000 #Tesla Workers: See Why

https://t.co/QttCklREJU",0.53744215,0.43085504,0.031702846
5,#Elon wants YOU to go back to the office in a #Tesla because right now it's pretty useless.  #teleworking #5G http,0.60315245,0.3142884,0.08255909
6,#Mask wait!  #Tesla Cybertruck will be with me soon!  I already had an ice copy ❄ http,0.0047485926,0.13577005,0.85948145
7,#TNRGold🔋 $TNR.v Lithium Royalty Holding: #Ganfeng Lithium Supercharges #MarianaLithium Development By US$600M Investment Making Argentina The Power House Of #Solar Energy #rEVolution. http #Royalties⚡️ $GNENF #EVs #Batteries #Tesla #VW #BMW $LIT $BATT http,0.016019702,0.877278,0.10670235
8,"#Tesla 
Tesla’s ‘phantom braking’ problem is getting worse, and the US government has questions 
https://t.co/ckgctrkLpA 
#TeslaRadar 
#Tesla #teslastock #TSLA $TSLA",0.76702225,0.20632221,0.02665549
9,"#Tesla CEO Elon Musk has a ""super bad feeling"" about the #economy and needs to cut about 10% of salaried staff at the electric carmaker, he said in emails seen by Reuters. http",0.62912655,0.33845913,0.032414306
10,"#Tesla Links to TESLA VEHICLES #ElonMusk #electric #vehicles #Cybertruck #about_tesla
https://t.co/GENO5Zozxq
https://t.co/8g275G5BMY",0.033947352,0.7951028,0.17094983
11,"#Tesla service rep claims they are receiving hundreds of calls a day for Sentry Mode failing on Model 3s

After a sentry event car says “Error. Check USB” but appears unable to show video or write to the USB.

@Tesla rep claims there is no timeline for a software fix

@elonmusk",0.7575203,0.22254409,0.019935569
12,#Tesla shares dropped 8.5% on Friday after reports of his plan to cut 10% of staff and implement a hiring freeze surfaced.----&gt; #Musk is a #crybaby http,0.8249115,0.16404326,0.011045085
13,"#TheSwitch 🔌 Oil’s Displacement as a Road Fuel Is About to Ramp Up, BNEF Says - Bloomberg

The End of the ICE Age #EVs ⚡️ #Lithium 🔋 #Tesla #EVsMassMarket ✅ http",0.035341658,0.7266582,0.23800007
14,"$TSLA winnings of initial #BTC investment🙌

$-203783657 (-15.1 %) (Realized: 272 M)
(Estimating an average buy price of $35000/BTC with now 38,700 BTC holdings $BTCUSD)
#Tesla #Bitcoin #crypto",0.027385684,0.7916395,0.18097481
15,"$TSLA winnings of initial #BTC investment🙌

$-205084286 (-15.19 %) (Realized: 272 M)
(Estimating an average buy price of $35000/BTC with now 38,700 BTC holdings $BTCUSD)
#Tesla #Bitcoin #crypto",0.026496163,0.7911685,0.18233535
16,@user @user @user No other token is doing what $VOLT  is doing in this market @user ⚡ ⚡  #VOLTINU #VOLTARMY #VOLT #dogecoin #Crypto #DeFi #ElonMusk #cryptotrading #cryptocurrecy #FOMO #Musk #Elon #HODL #100xGems #1000xgem #shiba #BTC #Bitcoin #Tesla #Ethereum #Cryptos http,0.09775878,0.7370923,0.16514882
17,@user @user Manipulating markets U.S. judge says Musk recklessly tweeted that 'funding secured' for taking Tesla private http #ElonMusk #SpaceX #Tesla,0.3861594,0.5549554,0.058885142
18,"@user scam smart valor exchange ceo 
@OlgaFeldmeier

 #BTC #LUNA #Bitcoin #BNB #LUNC #BNB #valor #ElonMusk #dogecoin #tesla #Binance #epxusdt #AVAX #Ethereum #mana #RACA",0.04377138,0.8549259,0.101302736
19,@user scam smart valor exchange ceo @user #BTC #LUNA #Bitcoin #BNB #LUNC #BNB #valor #ElonMusk #dogecoin #tesla #Binance #epxusdt #AVAX #Ethereum #mana #RACA,0.028449707,0.8618623,0.109688014
20,"@user the latest investor in my first Indian #crypto company @user wants to buy a #Tesla for #BTC, any plans of you buying @user for me #BitcoinCash &amp; #slp are the payment tools!!
#BCH #INCtoken #India 
@cctip_io airdrop .01 BCH 150
https://t.co/tVQ5kIWyCV",0.0063749077,0.746474,0.24715108
21,@user @user No other token is doing what $VOLT  is doing in this market @user ⚡ ⚡  #VOLTINU #VOLTARMY #VOLT #dogecoin #Crypto #DeFi #ElonMusk #cryptotrading #cryptocurrecy #FOMO #Musk #Elon #HODL #100xGems #1000xgem #shiba #BTC #Bitcoin #Tesla #Ethereum #Cryptos http,0.088171855,0.7385231,0.173305
22,@user @user No other token is doing what $VOLT  is doing in this market @user ⚡ ⚡  #VOLTINU #VOLTARMY #VOLT #dogecoin #Crypto #DeFi #ElonMusk #cryptotrading #cryptocurrecy #FOMO #Musk #Elon #HODL #100xGems #1000xgem #shiba #BTC #Bitcoin #Tesla #Ethereum #Cryptos http,0.088171855,0.7385231,0.173305
23,@user About what % of #Tesla workers are on a salary as compared to hourly ....,0.08321106,0.86823314,0.04855571
24,"@user @user CLAIM UP TO $10,000 in the ongoing DOJOCOIN PRESALE. 

Visit: http Free 600 DOJO($600) and DOJO NFT worth 3 BNB

Use Trust wallet or Metamask

Twitter: @user #elonmusk and #tesla #PRESALE #NFT

#DOJO #Airdrops #BNB #lunaterra #Terra_Luna",0.020689767,0.81510454,0.16420573
25,"@user @user early 2002, Musk started to look for staff for his new space company, soon to be named SpaceX. Musk approached rocket engineer Tom Mueller and invited him to become his business partner. Mueller agreed to work for Musk, and thus SpaceX was born.
@elonmusk 
#SpaceX #Tesla #GHC http",0.0061137276,0.6167005,0.3771856
26,"@user @user In 1995, @user was accepted into Stanford University for a Ph.D. However, he dropped out in just two days.
Mr. Musk, how do you feel about this after all these years??
#SpaceX #Tesla #Neuralink #GalaxyHeroes http",0.35293093,0.5523696,0.09469949
27,@user @user Have they told you what % of to ur #followers are real? Can you run boy revealing #AI ?  @user #tesla #twitter @user @user,0.13427301,0.82617545,0.039551634
28,@user How many hours do you think Joe Biden works each week? #tesla,0.12705316,0.83682543,0.036121413
29,"@user The future electrical era.
Wellcome #Tesla

#formulaE #FormulaEJakarta
#JakartaEPrix",0.0067663705,0.35739216,0.63584137
30,@user the king #terratesla #tesla #lunc #burn #usdt,0.022592187,0.74967986,0.22772789
31,"@user What happened to ""Master of Coin"". He sold at ~$1230 and bought himself a new jet? How is #Tesla #Bitcoin investment doing by the way. I'm surprised you are still around in this company of clowns. $TSLA $TSLAQ",0.73785645,0.22763515,0.034508273
32,"@user @user look at ""one-termer"" #SleepyJoe punching down at @user Guess he does not know that a lot of #ElonMusk &amp; #Tesla fans vote for #Democrats. Your action was unbecoming of The Office of the President of the United States. Don't be Trump.",0.8874254,0.10490756,0.0076669003
33,"@user #tesla in August #shib Will accept payment...

#ElonMusk #Tesla #shib #SHIBARMY #LUNA #PIT #BabyDoge http",0.0065074493,0.56849,0.42500237
34,"@user @user @user When #Tesla was being launched in Italy, I walked into their showroom in Milano, Italy.

I then and there decided that, if they were ready to put that poorly finished car there to attract buyers, I would never buy one.

I still don’t buy it.",0.83915967,0.14154164,0.019298643
35,"@user scam smart valor exchange ceo
@OlgaFeldmeier
 #BTC #LUNA #Bitcoin #BNB #LUNC #BNB #valor #ElonMusk #dogecoin #tesla #Binance #epxusdt #AVAX #Ethereum #mana #RACA",0.048584845,0.8627864,0.088628784
36,"AIDROP

CLAIM DOJO NFT worth 3 $BNB ($1000) and 600 DOJO TOKENS ($600) in the ongoing DOJO COIN PRESALE

Open http on metamask or trust wallet to claim few DOJO and DOJO NFT

TWITTER: @user is endorsed by #elonmusk and #tesla

#lunaterra http",0.008242768,0.7823078,0.20944937
37,Access to secure supply lines of strategic metals like #Lithium &amp; #Copper will define the success of the nations in the brave new world in the 21st century. #Tesla's Lithium supply lines are still going all over the world &amp; straight back to China. http $TNR.v🔋 http,0.008136512,0.27510512,0.71675825
38,"Amped! ThomasHolsboer 2 just spotted a 2019 Tesla Model 3 🇺🇸 Standard for the very first time in North Holland, Netherlands! 🇳🇱 #TeslaRadar #Tesla #Netherlands #Model3",0.0010878032,0.07286584,0.9260465
39,"An electric car without a steering wheel! The future or a step too far?

What's your thoughts? 👇💭

https://t.co/qwIaGl7f9J

#tesla #moderncars #futurecars #technologycars #enhancedtech #elonmusk #cardeals #carleasinguk",0.034035765,0.6446845,0.32127982
40,"Booyah! Someone nailed it by spotting a 2021 Tesla Model 3 🇨🇳 Standard in Wellington, New Zealand 🇳🇿 as the first player! #TeslaRadar #Tesla #NewZealand #Model3",0.0011988132,0.044879977,0.95392126
41,"CLAIM UP TO $10,000 in the ongoing DOJOCOIN PRESALE. 

Visit: http Free 600 DOJO($600) and DOJO NFT worth 3 BNB

Use Trust wallet or Metamask

Twitter: @user #elonmusk and #tesla #PRESALE #NFT

#DOJO #Airdrops #BNB #lunaterra #Terra_Luna http",0.023198413,0.86557806,0.11122354
42,"CLAIM UP TO $10,000 in the ongoing DOJOCOIN PRESALE. 

Visit: http Free 600 DOJO($600) and DOJO NFT worth 3 BNB

Use Trust wallet or Metamask

Twitter: @user #elonmusk and #tesla #PRESALE #NFT

#DOJO #Airdrops #BNB #lunaterra #Terra_Luna http",0.023198413,0.86557806,0.11122354
43,"Check out our Carbon steering wheel insert, available in 4 variations, for Tesla Model 3 and Y ! 

Link : http 

#Tesla #Teslaowner #Greendrive #Carbon http",0.008248337,0.44561124,0.5461404
44,"Content analysis:
This article scores 77/100. The complete report can be viewed here: http a bot)

#Federal #Tesla http",0.060477532,0.63270056,0.30682206
45,"Coolio! Someone was first to spot a 2022 Tesla Model 3 🇺🇸 Standard in Texas, United States! 🇺🇸 #TeslaRadar #Tesla #UnitedStates #Model3",0.0008704135,0.033539224,0.9655904
46,"Do you want to double your income by working from home?
LINK:https://t.co/qkM5EgtJUO
#elon #musk #jeb #bezos #ncat #tesla #fairfaxcountyva #amazon #wssu #elonmusk #throughthepines #jeffbezos #greensboro #spacex #ethiopia #yucky #nccu #pulltruck #show #unc #elonmuskmemes #america http",0.021252511,0.72724044,0.2515072
47,"EV Sales Will Triple by 2025 and Still Need More Oomph to Reach Net Zero - Bloomberg

The End of the ICE Age #EVs ⚡️ #Lithium 🔋 #Tesla #EVsMassMarket ✅ http",0.0071741696,0.32657358,0.6662524
48,"Elon Musk plans 10% staff cut at Tesla, freezes hiring

#ElonMusk #Tesla #JobsReport 
https://t.co/1T6nKtIpif",0.18058752,0.7233611,0.0960513
49,"Elon Musk tells Tesla workers to return to the office full time or resign

News Source: @user 
Author: @user More Trending Crypto And Finance News,
Please visit: http #Tesla #employees 

https://t.co/e5h1U1c4aG",0.044856887,0.78427476,0.17086823
50,"Elon Musk's warning, signals a recession in auto industry: Report #AutoIndustry #Elon Musk #Tesla http",0.3414015,0.5734786,0.08512005
51,FIRST RIDE: Tesla Cyberquad Electric ATV for Kids! #tesla http,0.0021087385,0.27406278,0.72382855
52,"Fabulous! Someone just spotted a 2022 Tesla Model 3 🇺🇸 Dual Motor for the very first time in Texas, United States! 🇺🇸 #TeslaRadar #Tesla #UnitedStates #Model3",0.00095516804,0.029716993,0.9693279
53,For a company that claims to be of the future it operates like a company of the past. Elon Musk’s comments about WFH are ancient 🦖 #Tesla,0.13360228,0.53190327,0.33449453
