,Tweet,Negative,Neutral,Positive
0,#AUDI A6 ULTRA - 2016 - 169890 km. for more information visit http http,0.04407179,0.91518104,0.040747054
1,"#Audi #SocAIty study clears top 8 #myths about self-driving #cars

https://t.co/RzPOlNhcaC http",0.028017007,0.5994873,0.37249568
2,"#Audi Completes 15 Years In India! – Five Year Unlimited Warranty For All New Cars!

Read more at: http",0.0075002676,0.37275958,0.61974007
3,"#Audi TT RS (MK3) at Milwaukee Concours d'Elegance (2019) in Milwaukee, WI. http",0.021437207,0.8985478,0.08001488
4,#Audi nave 📸🚘🥇 http,0.044434555,0.8804087,0.0751568
5,#Audi switching from #truck to #rail for #battery delivery http via GreenCarCongres,0.0103936745,0.60305876,0.3865475
6,#Audi switching from #truck to #rail for #battery delivery http,0.03358961,0.8255023,0.140908
7,"#Former Indian cricketer and head coach of Team India #Ravi Shastri has shared a photo of his 36-year-old #Audi car on social media. 
https://t.co/NlRbD2cfVM http",0.06967955,0.83316714,0.09715348
8,"#MobilityNews | Balbir Singh Dhillon, Head, Audi India, said, “This is a milestone initiative and we are very happy to offer a complete peace of mind package.”
Read full report: http #Audi #AudiIndia",0.0016048754,0.037325997,0.9610693
9,"#Sales Executive required at Marshall ##TunbridgeWells #Audi. Join us.
 
To find out more and to apply online see &gt; http #jobs http",0.050233442,0.7723904,0.17737614
10,#audi rs7 abt http,0.085822046,0.86933786,0.04484024
11,"#news #AskUsAnything #Audi #AudiRS3 #NewCars You Asked, We Answer: Everything You Want To Know About The 2022 Audi RS3 http",0.022371141,0.6212891,0.3563398
12,"#news #Audi #AudiRS6 #Lamborghini #LamborghiniHuracan Watch A 1,200 HP Twin-Turbo Lamborghini Huracan Tow An RS6 And A Urus http",0.010942005,0.6516722,0.3373858
13,"#news #Audi Watch A 1,200 HP Twin-Turbo Lamborghini Huracan Tow An RS6 And A Urus http http",0.010721898,0.7558194,0.23345864
14,(I purchased a 30yr outdated ITALIAN ...) http - http #Acura #AstonMartin #Audi #BIsForBoat #BIsForBuild #Bentley #Bmw #Boat Sports betting #Sportsbetting #Blackjack #Poker #Horseracing #Craps #sportsbook #Austrailia #gaming,0.16990638,0.76967037,0.06042326
15,(Solving Up My 30yr Previous #Italian #Yacht!) http - http #Acura #AstonMartin #Audi #BIsForBuild #Bentley #Bmw #Buick #Cadillac Sports betting #Sportsbetting #Blackjack #Poker #Horseracing #Craps #sportsbook #Austrailia #gaming,0.061425112,0.8552078,0.08336712
